Date,Longitude,Latitude,Ozone.8.hr.max.
2005-05-22,-85.802,33.281,50.25
2005-05-22,-87.651,34.761,55.88
2005-05-22,-86.137,32.498,51.63
2005-05-22,-86.054,33.904,57.38
2005-05-22,-85.423,31.19,56.88
2005-05-22,-86.815,33.553,55.13
2005-05-22,-86.915,33.486,45.37
2005-05-22,-87.004,33.331,56.25
2005-05-22,-87.306,33.46,48.25
2005-05-22,-86.549,33.545,59.75
2005-05-22,-86.817,33.386,56.75
2005-05-22,-86.669,33.705,52.13
2005-05-22,-86.942,33.802,50.75
2005-05-22,-86.774,33.578,51.87
2005-05-22,-87.34,34.343,49.25
2005-05-22,-86.583,34.691,66.38
2005-05-22,-88.088,30.77,66.63
2005-05-22,-88.141,30.474,53.38
2005-05-22,-86.256,32.407,57.13
2005-05-22,-86.977,34.519,56.25
2005-05-22,-85.084,32.468,48.5
2005-05-22,-86.825,33.317,53.63
2005-05-22,-88.202,32.364,45.25
2005-05-22,-86.123,33.498,49.38
2005-05-22,-87.46,33.09,53.5
2005-05-22,-90.191,35.197,72.5
2005-05-22,-90.246,35.334,70.13
2005-05-22,-90.451,35.278,73.5
2005-05-22,-93.219,35.833,54.14
2005-05-22,-94.143,34.454,65.57
2005-05-22,-92.276,34.756,74.62
2005-05-22,-92.259,34.831,68.88
2005-05-22,-92.337,34.676,62.38
2005-05-22,-73.585,41.004,38.25
2005-05-22,-73.445,41.401,24.38
2005-05-22,-73.104,41.152,31.38
2005-05-22,-73.337,41.119,27
2005-05-22,-72.63,41.784,28.25
2005-05-22,-73.296,41.82,28.88
2005-05-22,-72.631,41.552,25.38
2005-05-22,-72.903,41.301,20.13
2005-05-22,-72.551,41.258,31.13
2005-05-22,-72.063,41.315,34.13
2005-05-22,-72.387,41.976,31.13
2005-05-22,-75.556,38.985,46.25
2005-05-22,-75.731,39.551,40.25
2005-05-22,-75.564,39.817,36.75
2005-05-22,-75.496,39.774,35.75
2005-05-22,-75.613,38.644,52.62
2005-05-22,-75.163,38.779,43.13
2005-05-22,-77.023,38.975,46.75
2005-05-22,-76.953,38.897,37.75
2005-05-22,-77.012,38.919,49.5
2005-05-22,-82.491,29.684,57.13
2005-05-22,-82.297,29.547,54.63
2005-05-22,-82.445,30.198,49.75
2005-05-22,-85.732,30.131,54.5
2005-05-22,-80.629,28.054,51.38
2005-05-22,-80.616,28.311,53.25
2005-05-22,-80.295,26.272,46.5
2005-05-22,-80.097,26.29,46
2005-05-22,-80.111,26.087,47.25
2005-05-22,-81.711,26.27,42.63
2005-05-22,-82.619,30.178,55.5
2005-05-22,-81.588,30.478,52.38
2005-05-22,-81.454,30.261,54.25
2005-05-22,-87.204,30.525,58.88
2005-05-22,-87.271,30.368,52.63
2005-05-22,-87.276,30.399,51.88
2005-05-22,-81.341,27.189,54.5
2005-05-22,-82.465,27.74,58.38
2005-05-22,-82.162,27.781,60
2005-05-22,-82.455,27.928,57.88
2005-05-22,-82.539,27.892,65.5
2005-05-22,-82.23,27.966,55.88
2005-05-22,-82.126,27.993,55.25
2005-05-22,-85.604,30.847,51.5
2005-05-22,-81.723,28.525,55.13
2005-05-22,-81.98,26.548,51.75
2005-05-22,-81.939,26.449,54.38
2005-05-22,-84.348,30.44,53.38
2005-05-22,-84.199,30.484,52.5
2005-05-22,-82.546,27.633,56.88
2005-05-22,-82.619,27.481,59.5
2005-05-22,-82.522,27.449,56.5
2005-05-22,-82.101,29.17,54.13
2005-05-22,-82.173,29.192,55.13
2005-05-22,-80.162,25.733,64.75
2005-05-22,-80.327,25.586,43.75
2005-05-22,-81.381,28.454,54.25
2005-05-22,-81.363,28.599,53
2005-05-22,-81.637,28.347,54.63
2005-05-22,-80.061,26.591,23.88
2005-05-22,-82.306,28.332,57.75
2005-05-22,-82.758,28.195,53.5
2005-05-22,-82.732,27.946,51
2005-05-22,-82.74,27.786,52.25
2005-05-22,-82.701,28.09,53.63
2005-05-22,-82,27.939,59
2005-05-22,-81.972,28.029,52.37
2005-05-22,-80.408,27.449,32.25
2005-05-22,-87.008,30.394,52
2005-05-22,-82.571,27.307,59.5
2005-05-22,-82.48,27.35,59.13
2005-05-22,-82.363,27.089,59.75
2005-05-22,-81.31,28.746,52.5
2005-05-22,-80.994,29.109,50.38
2005-05-22,-81.053,29.207,48.13
2005-05-22,-84.162,30.093,48.5
2005-05-22,-83.545,32.803,56.88
2005-05-22,-83.789,32.828,50.25
2005-05-22,-81.049,32.068,53.63
2005-05-22,-85.408,34.474,51.63
2005-05-22,-83.357,33.924,56.87
2005-05-22,-84.607,34.014,51.75
2005-05-22,-82.131,33.582,54.13
2005-05-22,-84.746,33.404,47.25
2005-05-22,-84.056,34.378,52.25
2005-05-22,-84.29,33.688,48.13
2005-05-22,-84.214,33.848,55
2005-05-22,-84.779,33.743,56.5
