Date,PowerBill,Solar
12/1/13,106.18,N
1/1/14,124.07,N
2/1/14,106.02,N
3/1/14,109.35,N
4/1/14,87.62,N
5/1/14,86.59,N
6/1/14,95.35,N
7/1/14,91.38,N
8/1/14,230.59,N
9/1/15,162.95,N
10/1/14,176.38,N
11/1/14,99.19,N
12/1/14,109.14,N
1/1/15,102.38,N
2/1/15,125.67,N
3/1/15,98.95,N
4/1/15,94.18,N
5/1/15,88.94,N
6/1/15,96.7,N
7/1/15,198.05,N
8/1/15,187.58,N
9/1/15,228,N
10/1/15,166.44,N
11/1/15,118.88,N
12/1/15,109.85,N
1/1/16,123.73,N
2/1/16,119.93,N
3/1/16,101.23,N
4/1/16,99.73,N
5/1/16,39.77,Y
6/1/16,9.03,Y
7/1/16,11.03,Y
8/1/16,33.38,Y
9/1/16,91,Y
10/1/16,12.35,Y
11/1/16,9.04,Y
12/1/16,39.69,Y
1/1/17,71.68,Y
2/1/17,86.1,Y
3/1/17,44.71,Y
4/1/17,9.03,Y
5/1/17,9.03,Y
6/1/17,9,Y
7/1/17,9,Y
8/1/17,30,Y
9/1/17,9,Y
10/1/17,24,Y
11/1/17,19.34,Y
12/1/17,58.12,Y
1/1/18,154.18,Y
2/1/18,132.16,Y
